id,模型名,隐藏,输入,输出,context,cutoff,LiveBench,Arena,Arena,AP,APw,SWE,GPQA,MC,SC,AIME25,AIME24,VA,MMMU,LCBv5,TauA,TauR,HLE,HLET,nao逻辑,nao编程,nao视觉,MMMLU,ARC1,IFEval,MP,IQ,LCW,CW,FL,备注,即时,模型全名,API名,显示在列名旁,isModel
100,o3-high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,o3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,o4-mini-high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Gemini 2.5 Pro 0506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Video Audio can be input,,,,,
104,Gemini 2.5 Pro 0325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Video Audio can be input,,,,,
105,Claude Opus 4 (T),,,,,,,,,32k thinking,,,,,,,,,,,,,,,,,,,Thinking 16K,,,,,,,,,,,,
106,Claude Sonnet 4 (T),,,,,,,,,,,,,,,,,,,,,,,,,,,,Thinking 16K,,,,,,,,,,,,
107,DeepSeek R1 0528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,新版输出变长,,,,,
108,Claude 3.7 Thinking,,,,,,,32k max thinking,32k max thinking,32k thinking tokens,,,,,,,,,,,,,,,,,,,,,,,,,8k max thinking,,,,,,
109,o4-mini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,grok-3-mini-beta(high),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Doubao-1.5-thinking-pro,,4元,16元,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seed-Thinking-v1.5,,,
112,Qwen3-235B-A22B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,gemini-2.5-flash-0520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Video Audio can be input,,,,,
114,gemini-2.5-flash-0417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Video Audio can be input,,,,,
115,Claude Opus 4 (NT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,deepseek R1,,,,,,,,,53.3: https://huggingface.co/deepseek-ai/DeepSeek-R1-0528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Claude Sonnet 4 (NT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Grok 3 Beta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Claude 3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,DeepSeek-V3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,GPT-4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,qwen3-235b-a22b (NT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,chatgpt-4o-0326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,GPT-4.1 mini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Gemini 2.0 Flash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Video Audio can be input,,,,,
126,GPT-4o mini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,GPT-4.1 nano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,GPT-4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Gemini 2.5 Flash 0520 (NT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Video Audio can be input,,,,,
130,Gemini 2.5 Flash 0417 (NT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Video Audio can be input,,,,,
6,id,1,50,51,53,54,100,101,101,103,104,105,106,102,125,107,108,109,110,111,127,128,112,126,116,117,118,114,113,115,119,120,121,122,123,52,57,55,56,5,4
